RESIDENCY_GROUP_DESCR,ACADEMIC_YEAR,TERM,TERM_DESCR,ACADEMIC_CAREER_DESCR,ACAD_PROG,ACADEMIC_PROGRAM_DESCR,COURSE_ID,OFFER_NUMBER,FACULTY,FACULTY_DESCR,SCHOOL,SCHOOL_NAME,COURSE_NAME,GENDER,FIRST_GENERATION_IND,ATSI_DESC,ATSI_GROUP,REGIONAL_REMOTE,SES,ADMISSION_PATHWAY,COURSE_CODE,CATALOG_NUMBER,CRSE_ATTR,MASKED_ID
Local,2025,5256,2025 Term 2,Undergraduate,3342,Design/Media,65310,1,ADA,"Faculty of Arts, Design and Architecture",ENGL,School of the Arts and Media,Doing Film Festivals,F,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,ARTS2068,2068,WILC,13195183
International,2025,5253,2025 Term 1,Postgraduate,8404,Commerce,64384,1,COMM,UNSW Business School,COMM,UNSW Business School,Enterprise Skills,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5008,5008,WILC,13443274
International,2025,5252,2025 Summer Term,Postgraduate,8417,Commerce (Extension),66908,1,BOS,DVC (A) Board of Studies,BOS,DVC (A) Board of Studies,Partnered Work Project,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,CDEV6000,6000,WILC,13487849
International,2025,5256,2025 Term 2,Postgraduate,8417,Commerce (Extension),66441,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5044,5044,WILC,13487849
International,2025,5253,2025 Term 1,Postgraduate,8404,Commerce,66441,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5044,5044,WILC,13650372
International,2025,5253,2025 Term 1,Postgraduate,9323,Simulation and Immersive Tech,66048,1,ADA,"Faculty of Arts, Design and Architecture",COFAS,School of Art & Design,MVSID Capstone,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,DDES9991,9991,WILC,13680232
International,2025,5253,2025 Term 1,Postgraduate,8621,Engineering,64832,2,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,ENGG4999,4999,WILC,13788606
International,2025,5256,2025 Term 2,Undergraduate,3341,Media,65310,1,ADA,"Faculty of Arts, Design and Architecture",ENGL,School of the Arts and Media,Doing Film Festivals,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,ARTS2068,2068,WILC,13823965
International,2025,5253,2025 Term 1,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,13902034
International,2025,5256,2025 Term 2,Postgraduate,9323,Simulation and Immersive Tech,66048,1,ADA,"Faculty of Arts, Design and Architecture",COFAS,School of Art & Design,MVSID Capstone,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,DDES9991,9991,WILC,14119696
International,2025,5256,2025 Term 2,Postgraduate,8371,International Business,64384,1,COMM,UNSW Business School,COMM,UNSW Business School,Enterprise Skills,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5008,5008,WILC,27938062
International,2025,5253,2025 Term 1,Postgraduate,8371,International Business,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,27938062
International,2025,5256,2025 Term 2,Postgraduate,8371,International Business,66441,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5044,5044,WILC,27938062
International,2025,5256,2025 Term 2,Postgraduate,8404,Commerce,66441,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5044,5044,WILC,28175375
International,2025,5259,2025 Term 3,Postgraduate,8417,Commerce (Extension),64384,1,COMM,UNSW Business School,COMM,UNSW Business School,Enterprise Skills,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5008,5008,WILC,28182183
Local,2025,5252,2025 Summer Term,Undergraduate,3502,Commerce,63929,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entrepreneur Practicum,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,HE,COMM3030,3030,WILC,28416307
International,2025,5253,2025 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,ENGG4999,4999,WILC,28785683
International,2025,5253,2025 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,ENGG4999,4999,WILC,28797152
International,2025,5256,2025 Term 2,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,28809478
International,2025,5253,2025 Term 1,Postgraduate,8621,Engineering,64832,2,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,ENGG4999,4999,WILC,29063387
Local,2025,5259,2025 Term 3,Undergraduate,4053,Arts / Education (Secondary),62698,1,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Professional Engagement,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,EDST2002,2002,WILC,29172324
Local,2025,5253,2025 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,ENGG4999,4999,WILC,29271497
Local,2025,5256,2025 Term 2,Postgraduate,8926,Teaching (Secondary),59591,2,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Professional Experience 1,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,Others,EDST6760,6760,WILC,43428788
International,2025,5253,2025 Term 1,Postgraduate,8621,Engineering,64832,2,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,ENGG4999,4999,WILC,43511138
International,2025,5256,2025 Term 2,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,43760664
International,2025,5253,2025 Term 1,Undergraduate,3635,Eng (Civil w Arch) (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,ENGG4999,4999,WILC,43823264
International,2025,5253,2025 Term 1,Undergraduate,3764,Engineering (Hons)/Commerce,64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,ENGG4999,4999,WILC,43824237
International,2025,5259,2025 Term 3,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,43889415
International,2025,5253,2025 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,ENGG4999,4999,WILC,43914504
Local,2025,5256,2025 Term 2,Postgraduate,8925,Teaching (Primary),59591,2,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Professional Experience 1,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,Others,EDST6760,6760,WILC,44964609
International,2025,5259,2025 Term 3,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,46196302
Local,2025,5253,2025 Term 1,Non-Award,6006,Visiting Student Program,66057,1,ADMIN,Division of Registrar and Deputy Principal,ADMIN,Division of Registrar and Deputy Principal,HDR Internship,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Low,Others,REGZ9901,9901,WILC,46382727
Local,2025,5253,2025 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,ENGG4999,4999,WILC,47102112
Local,2025,5253,2025 Term 1,Undergraduate,3762,AdvSci(Hons)/Engineering(Hons),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,ENGG4999,4999,WILC,47096900
Local,2025,5253,2025 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,ENGG4999,4999,WILC,47073821
Local,2025,5253,2025 Term 1,Undergraduate,3767,Engineering (Hons) / Science,64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,ENGG4999,4999,WILC,47103595
Local,2025,5253,2025 Term 1,Undergraduate,3764,Engineering (Hons)/Commerce,64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,ENGG4999,4999,WILC,47096647
Local,2025,5256,2025 Term 2,Postgraduate,8095,Clinical Optometry,65116,1,MED,Faculty of Medicine and Health,OPTOM,School of Optometry and Vision Science,Clinical Contact lens,F,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Inner Regional Australia,Medium,Others,OPTM8521,8521,WILC,1317230
Local,2025,5253,2025 Term 1,Postgraduate,8095,Clinical Optometry,65114,1,MED,Faculty of Medicine and Health,OPTOM,School of Optometry and Vision Science,Clinical Optometry 5A,F,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Inner Regional Australia,Medium,Others,OPTM8512,8512,WILC,1317230
Local,2025,5259,2025 Term 3,Postgraduate,8095,Clinical Optometry,65118,1,MED,Faculty of Medicine and Health,OPTOM,School of Optometry and Vision Science,Clinical Ocular Therapy 5B,F,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Inner Regional Australia,Medium,Others,OPTM8523,8523,WILC,1317230
Local,2025,5253,2025 Term 1,Postgraduate,8095,Clinical Optometry,65107,1,MED,Faculty of Medicine and Health,OPTOM,School of Optometry and Vision Science,"Clinical paeds, LV and CV",F,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Inner Regional Australia,Medium,Others,OPTM8511,8511,WILC,1317230
Local,2025,5256,2025 Term 2,Postgraduate,8095,Clinical Optometry,65115,1,MED,Faculty of Medicine and Health,OPTOM,School of Optometry and Vision Science,Clinical Ocular Therapy 5A,F,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Inner Regional Australia,Medium,Others,OPTM8513,8513,WILC,1317230
Local,2025,5259,2025 Term 3,Postgraduate,8095,Clinical Optometry,65117,1,MED,Faculty of Medicine and Health,OPTOM,School of Optometry and Vision Science,Clinical Optometry 5B,F,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Inner Regional Australia,Medium,Others,OPTM8522,8522,WILC,1317230
Local,2025,5252,2025 Summer Term,Undergraduate,4788,International Studies / Law,11188,1,LAW,Faculty of Law and Justice,GPLAW,School of Global and Public Law,International Law Moot,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,LAWS3086,3086,WILC,1262960
Local,2025,5252,2025 Summer Term,Undergraduate,4787,Social Work (Honours) / Law,65481,1,LAW,Faculty of Law and Justice,SCLAW,"School of Law, Society and Criminology",UNSW Law Internships,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,LAWS3555,3555,WILC,1648376
Local,2025,5259,2025 Term 3,Undergraduate,4787,Social Work (Honours) / Law,65522,1,ADA,"Faculty of Arts, Design and Architecture",POLS,School of Social Sciences,Social Work Placement Lvl 4 B,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,SOCW4018,4018,WILC,1648376
Local,2025,5256,2025 Term 2,Undergraduate,4787,Social Work (Honours) / Law,65524,1,ADA,"Faculty of Arts, Design and Architecture",POLS,School of Social Sciences,Social Work Placement  Lvl 4 A,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,SOCW4017,4017,WILC,1648376
Local,2025,5253,2025 Term 1,Undergraduate,4787,Social Work (Honours) / Law,66979,1,LAW,Faculty of Law and Justice,SCLAW,"School of Law, Society and Criminology",Law Internships: Extended,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,LAWS3777,3777,WILC,1648376
Local,2025,5252,2025 Summer Term,Undergraduate,3502,Commerce,63929,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entrepreneur Practicum,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,COMM3030,3030,WILC,9801522
Local,2025,5253,2025 Term 1,Undergraduate,3805,Medicine,55811,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Obstetrics & Gynaecology,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,MFAC3505,3505,WILC,9843279
Local,2025,5256,2025 Term 2,Undergraduate,3805,Medicine,55809,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Primary Care,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,MFAC3504,3504,WILC,9843279
Local,2025,5253,2025 Term 1,Undergraduate,3805,Medicine,55806,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Medicine,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,MFAC3501,3501,WILC,9843279
Local,2025,5259,2025 Term 3,Undergraduate,3805,Medicine,55813,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Children's Health (Paeds),F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,MFAC3506,3506,WILC,9843279
Local,2025,5252,2025 Summer Term,Undergraduate,3805,Medicine,55807,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Surgery,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,MFAC3502,3502,WILC,9843279
International,2025,5252,2025 Summer Term,Undergraduate,4053,Arts / Education (Secondary),62698,1,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Professional Engagement,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,EDST2002,2002,WILC,10522991
International,2025,5259,2025 Term 3,Undergraduate,3523,Advanced Maths (Hons)/Commerce,65607,1,COMM,UNSW Business School,COMM,UNSW Business School,Industry Consulting Project,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM2233,2233,WILC,10558981
International,2025,5259,2025 Term 3,Undergraduate,3523,Advanced Maths (Hons)/Commerce,66433,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM2244,2244,WILC,10558981
Local,2025,5256,2025 Term 2,Undergraduate,3182,Vision Science/Clinical Optom,65111,1,MED,Faculty of Medicine and Health,OPTOM,School of Optometry and Vision Science,Clinical Optometry 4A,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Low,Gateway ECO,OPTM6412,6412,WILC,10825148
Local,2025,5259,2025 Term 3,Undergraduate,3182,Vision Science/Clinical Optom,65112,1,MED,Faculty of Medicine and Health,OPTOM,School of Optometry and Vision Science,Clinical Optometry 4B,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Low,Gateway ECO,OPTM6422,6422,WILC,10825148
International,2025,5253,2025 Term 1,Undergraduate,3979,Information Systems,63929,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entrepreneur Practicum,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM3030,3030,WILC,10909830
International,2025,5253,2025 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,ENGG4999,4999,WILC,12203081
International,2025,5259,2025 Term 3,Undergraduate,3502,Commerce,65607,1,COMM,UNSW Business School,COMM,UNSW Business School,Industry Consulting Project,F,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM2233,2233,WILC,12216487
International,2025,5256,2025 Term 2,Undergraduate,3502,Commerce,66433,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,F,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM2244,2244,WILC,12216487
Local,2025,5256,2025 Term 2,Undergraduate,4068,Fine Arts/Education (Sec),59591,1,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Professional Experience 1,F,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,EDST6760,6760,WILC,12320993
Local,2025,5253,2025 Term 1,Undergraduate,4033,Social Work (Honours),65526,1,ADA,"Faculty of Arts, Design and Architecture",POLS,School of Social Sciences,Social Work Lvl 3 Placement A,F,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,SOCW3012,3012,WILC,12375246
Local,2025,5256,2025 Term 2,Undergraduate,3362,City Planning (Hons),66879,1,ADA,"Faculty of Arts, Design and Architecture",BLTENS,School of Built Environment,Practice: Policies,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,PLAN3009,3009,WILC,12739603
Local,2025,5256,2025 Term 2,Undergraduate,3362,City Planning (Hons),66880,1,ADA,"Faculty of Arts, Design and Architecture",BLTENS,School of Built Environment,Practice: Consultation,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,PLAN3008,3008,WILC,12739603
Local,2025,5253,2025 Term 1,Undergraduate,3362,City Planning (Hons),66866,1,ADA,"Faculty of Arts, Design and Architecture",BLTENS,School of Built Environment,Practice: Ethics,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,PLAN3006,3006,WILC,12739603
Local,2025,5253,2025 Term 1,Undergraduate,3362,City Planning (Hons),66871,1,ADA,"Faculty of Arts, Design and Architecture",BLTENS,School of Built Environment,Practice: Institutions,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,PLAN3007,3007,WILC,12739603
Local,2025,5259,2025 Term 3,Undergraduate,3895,Pharmaceutical Med/Pharmacy,66849,1,MED,Faculty of Medicine and Health,HEALTHSCI,School of Health Sciences,PTP: Cardiovasc and Renal,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Low,ATAR,PHRM3031,3031,WILC,12728224
Local,2025,5256,2025 Term 2,Undergraduate,3895,Pharmaceutical Med/Pharmacy,66890,1,MED,Faculty of Medicine and Health,HEALTHSCI,School of Health Sciences,PTP: Resp and Infect Diseases,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Low,ATAR,PHRM3021,3021,WILC,12728224
Local,2025,5259,2025 Term 3,Undergraduate,3895,Pharmaceutical Med/Pharmacy,66925,1,MED,Faculty of Medicine and Health,HEALTHSCI,School of Health Sciences,PTP: Gastro and Liver,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Low,ATAR,PHRM3032,3032,WILC,12728224
Local,2025,5256,2025 Term 2,Undergraduate,3895,Pharmaceutical Med/Pharmacy,66850,1,MED,Faculty of Medicine and Health,HEALTHSCI,School of Health Sciences,"PTP: Rheum, Derm, Eye, Ear",F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Low,ATAR,PHRM3022,3022,WILC,12728224
Local,2025,5253,2025 Term 1,Undergraduate,3959,Data Science and Decisions,65758,1,SCI,Faculty of Science,MATH,School of Mathematics and Statistics,Data Science IP2 (Co-op),M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,DATA2099,2099,WILC,12739164
Local,2025,5259,2025 Term 3,Undergraduate,3896,Ex Sci/Physiotherapy Ex Phys,66951,1,MED,Faculty of Medicine and Health,HEALTHSCI,School of Health Sciences,Ex Sci Professional Placement,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,EXPT3170,3170,WILC,12714927
Local,2025,5259,2025 Term 3,Undergraduate,3896,Ex Sci/Physiotherapy Ex Phys,66951,1,MED,Faculty of Medicine and Health,HEALTHSCI,School of Health Sciences,Ex Sci Professional Placement,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,EXPT3170,3170,WILC,12737277
Local,2025,5253,2025 Term 1,Undergraduate,3502,Commerce,66056,1,COMM,UNSW Business School,ACCT,"School of Accounting, Auditing and Taxation",UNSW Tax and Business Clinic,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,TABL3033,3033,WILC,12725582
Local,2025,5252,2025 Summer Term,Undergraduate,3558,Commerce (International),64957,1,BOS,DVC (A) Board of Studies,BOS,DVC (A) Board of Studies,Practice of Work,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,ATAR,CDEV3000,3000,WILC,12725582
Local,2025,5256,2025 Term 2,Undergraduate,3502,Commerce,63929,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entrepreneur Practicum,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM3030,3030,WILC,12725582
